player_id,tournament_id,finish_numeric,true_pos,top_ten,mid_band,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total
11099,401353226,23.0,23.0,0,1,0.52,0.83,-0.35,0.84,1.31,1.83
9780,401353226,48.0,48.0,0,0,-0.04,-0.63,-0.34,1.83,0.86,0.83
569,401353226,13.0,13.0,0,1,1.06,0.2,1.29,-0.22,1.27,2.33
10166,401353226,0.0,91.0,0,0,-1.1,0.09,1.61,-0.37,1.32,0.22
5467,401353226,34.0,34.0,0,0,-0.81,0.39,0.99,0.76,2.14,1.33
4848,401353226,1.0,1.0,1,0,1.58,0.81,0.53,0.66,2.0,3.58
1030,401353226,0.0,91.0,0,0,-1.0,-1.5,-1.13,0.35,-2.28,-3.28
4513,401353226,48.0,48.0,0,0,-0.35,0.31,0.14,0.74,1.18,0.83
10363,401353226,69.0,69.0,0,0,0.01,-0.82,0.24,0.15,-0.43,-0.42
2552,401353226,0.0,91.0,0,0,0.11,0.23,-0.61,0.48,0.1,0.22
7083,401353226,41.0,41.0,0,0,0.62,0.02,-0.03,0.47,0.46,1.08
8906,401353226,34.0,34.0,0,0,0.43,-0.72,0.1,1.52,0.9,1.33
318,401353226,23.0,23.0,0,1,0.88,1.13,0.8,-0.98,0.95,1.83
1077,401353226,41.0,41.0,0,0,0.61,0.41,-0.2,0.26,0.47,1.08
676,401353226,23.0,23.0,0,1,-0.28,-0.04,1.95,0.2,2.11,1.83
5962,401353226,60.0,60.0,0,0,1.18,-0.54,-0.2,-0.36,-1.1,0.08
10343,401353226,13.0,13.0,0,1,2.19,0.22,-0.23,0.14,0.14,2.33
1059,401353226,41.0,41.0,0,0,0.74,-0.78,-0.67,1.79,0.34,1.08
1293,401353226,60.0,60.0,0,0,-0.1,0.29,-0.05,-0.07,0.17,0.08
455,401353226,0.0,91.0,0,0,-1.33,-0.28,0.78,0.54,1.05,-0.28
9037,401353226,5.0,5.0,1,0,1.25,1.17,0.18,0.48,1.83,3.08
8973,401353226,13.0,13.0,0,1,0.48,-0.07,1.73,0.18,1.85,2.33
6931,401353226,0.0,91.0,0,0,1.38,-0.53,-1.76,-0.87,-3.16,-1.78
